ts,cpu,mem,disk,bytes_sent,bytes_recv
1762358492,0.0,87.0,58.4,42178157,162631609
1762358497,27.9,87.5,58.4,42188266,162647793
1762358502,17.5,86.4,58.4,42192887,162650119
1762358507,26.2,86.1,58.4,42220935,162666740
1762358512,18.4,85.8,58.4,42221962,162671698
1762358517,20.7,85.8,58.4,42230585,162673475
1762358522,30.5,85.0,58.4,42235672,162675797
1762358527,16.5,85.0,58.4,42245297,162685310
1762358532,20.4,84.9,58.4,42253480,162687672
1762358537,18.7,85.2,58.4,42263414,162711729
1762358542,14.5,84.9,58.4,42264035,162712483
1762358547,33.2,85.8,58.4,42264920,162713447
1762358552,58.0,85.9,58.4,42265447,162714118
1762358557,54.0,85.2,58.4,42270834,162719485
1762358562,39.8,84.8,58.4,42493856,162725085
1762358567,31.7,85.2,58.4,42528504,162741644
1762358572,24.3,85.6,58.4,42529128,162744991
1762358577,25.7,85.3,58.4,42529686,162745577
1762358582,27.5,85.5,58.4,42545994,162761365
1762358587,36.4,86.4,58.4,42553012,162768985
1762358592,29.1,87.3,58.4,42597811,162803521
1762358597,46.2,87.3,58.4,42665196,162901144
1762358602,41.2,87.9,58.4,42673846,162929283
1762358607,35.1,86.9,58.4,42682615,162960267
1762358612,37.1,86.8,58.4,42691504,163005925
1762358617,32.8,86.8,58.4,42706958,163049271
1762358622,33.4,86.9,58.4,42712914,163107166
1762358627,36.6,87.5,58.4,42736085,163133933
1762358632,37.5,87.9,58.4,42744342,163178370
1762358637,45.2,88.7,58.4,42772605,163229889
1762358642,42.0,89.1,58.4,42780499,163267760
1762358647,33.7,89.4,58.4,42788427,163287464
1762358652,39.5,88.6,58.4,42792316,163297132
1762358657,33.1,88.2,58.4,42793589,163299337
1762358662,29.8,88.4,58.4,42870303,163383127
1762358667,11.0,85.9,58.5,42870747,163383449
1762358673,6.6,85.6,58.5,42871177,163386373
1762358678,12.8,84.6,58.5,42876469,163391494
1762358683,7.0,84.7,58.5,42881623,163404272
1762358688,7.4,84.6,58.5,42891460,163411105
1762358693,12.0,84.6,58.5,42908039,163436264
1762358698,9.0,84.6,58.5,42914787,163455889
1762358703,9.3,84.5,58.5,42921490,163524379
1762358708,10.3,84.5,58.5,42928993,163542523
1762358713,9.4,84.5,58.5,42929425,163542989
1762358718,6.2,84.4,58.5,42929706,163543277
1762358723,15.7,83.6,58.5,42940329,163547875
1762358728,6.6,83.6,58.5,42948610,163555592
1762358733,6.4,83.6,58.5,42948847,163555888
1762358738,8.7,83.6,58.5,42950067,163561865
1762358743,12.1,83.6,58.5,42957455,163569173
1762358748,7.6,83.6,58.5,42967231,163578744
1762358753,7.3,83.6,58.5,42973800,163585493
1762358758,7.8,83.5,58.5,42974098,163585786
1762358763,12.3,83.9,58.5,42988021,163604310
1762358768,15.4,84.2,58.5,42988337,163604453
1762358773,14.9,84.3,58.5,42993253,163611263
1762358778,22.9,84.2,58.5,43002281,163612949
1762358783,11.6,83.9,58.5,43017212,163631527
1762358788,14.2,83.9,58.5,43017362,163631850
1762358793,35.5,84.8,58.5,43028811,163646812
1762358798,49.7,86.9,58.5,43056614,163666779
1762358804,31.1,87.5,58.5,43061178,163668254
1762358809,30.7,88.7,58.5,43082015,163679627
1762358814,38.8,87.0,58.5,43087209,163686962
1762358819,16.7,86.8,58.5,43096580,163689243
1762358824,58.7,90.1,58.5,43109275,163694582
1762358829,35.8,87.5,58.5,43118210,163696543
1762358834,26.7,82.9,58.5,43147772,163711465
1762358839,40.6,84.6,58.5,43175387,163952724
1762358844,32.6,85.1,58.5,43199040,163964167
1762358849,30.9,85.7,58.5,43208481,163984785
1762358854,11.8,85.6,58.5,43209381,163986458
1762358859,29.6,83.6,58.5,43215387,164049501
1762358864,33.4,84.6,58.5,43223781,164078534
1762358869,30.6,85.2,58.5,43231908,164086996
1762358874,32.7,86.2,58.5,43247227,164176920
1762358879,28.9,86.3,58.5,43250498,164191921
